Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1;VaR_to_Ask_Ratio;RelativeSpread_%;AskPrice/ATR_D1;AskPrice/ATR_W1;AskPrice/ATR_MN1;ATR_D1/AskPrice;ATR_W1/AskPrice;ATR_MN1/AskPrice
KE_Z;USD;USD;Hard Red Wheat December;2;0.01;0.25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;2500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;511.289194;523.25;523.5;Commodities;Commodities - Agricultural;10.196429;27.535714;71.75;0.9766746781279848;0.04775549188156638;51.34150397163556;19.01167334901866;7.29616724738676;0.01947741929321872;0.05259926265520535;0.13705826170009552
LE_V;USD;USD;Live Cattle October;3;0.001;0.05000000000001137;0.025;10.0;1.0;4;2;1.0;20.0;1.0;3800.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 ;1968.559266;230.975;231.025;Commodities;Commodities - Agricultural;4.55;7.146429;12.205357;8.520979400497781;0.021642679363710147;50.77472527472528;32.327334393163355;18.92816408401655;0.019694838220971754;0.030933574288496916;0.052831325614111024
NG_U;USD;USD;Natural Gas September;3;0.001;0.001000000000000334;0.001;10.0;1.0;4;2;1.0;20.0;1.0;6200.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1381.677314;2.881;2.882;Commodities;Commodities - Energy;0.131286;0.382214;0.991929;479.4161394864677;0.034698126301191325;21.95207409777128;7.540278482734803;2.9054498860301496;0.04555378209576683;0.13262109646079112;0.3441807772380291
NG_V;USD;USD;Natural Gas October;3;0.001;0.001000000000000334;0.001;10.0;1.0;4;2;1.0;20.0;1.0;4900.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1405.545632;2.977;2.978;Commodities;Commodities - Energy;0.132214;0.392857;1.023143;471.9763707186031;0.03357958361317441;22.52408973331115;7.580366392860506;2.910639079776728;0.04439691067830759;0.13191974479516452;0.3435671591672263
NQ_U;USD;USD;E-mini Nasdaq 100 September;2;0.01;0.75;0.25;5.0;1.0;4;2;1.0;20.0;1.0;30830.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;7878.490013;23769.25;23770.0;Indexes;Undefined;330.857143;756.910714;1882.857143;0.3314467822044594;0.003155237694572991;71.84369599661325;31.403968209650685;12.624430955036082;0.013919105721497687;0.031843109549852755;0.07921149108119478
PL_V;USD;USD;Platinum October;1;0.1;0.5;0.1;5.0;1.0;4;2;1.0;20.0;1.0;5360.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;2168.574101;1346.3;1346.8;Commodities;Commodities - Precious;48.45;111.914286;143.621429;1.6101678801603805;0.037125037125037126;27.797729618163054;12.034209823757442;9.377430717528927;0.03597416097416098;0.08309644045144046;0.10663901767151768
RB_U;USD;USD;RBOB Gasoline September;4;0.0001;0.0005999999999999339;0.0001;4.2;1.0;4;2;1.0;20.0;1.0;18000.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;2067.459265;2.0838;2.0844;Commodities;Undefined;0.046736;0.122579;0.226957;991.8726084244868;0.02878526194588054;44.599452242382746;17.004544008353797;9.184118577527904;0.02242180003838035;0.05880781040107465;0.10888361159086547
RB_V;USD;USD;RBOB Gasoline October;4;0.0001;0.000400000000000178;0.0001;4.2;1.0;4;2;1.0;20.0;1.0;17800.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1907.059804;1.9221;1.9225;Commodities;Undefined;0.043636;0.113179;0.2097;991.968688686606;0.020806241872571025;44.05765881382345;16.986366728810115;9.167858845970434;0.022697529258777632;0.058870741222366706;0.10907672301690506
RTY_U;USD;USD;E-Mini Rusell 2000 Index September;1;0.1;0.1999999999998181;0.1;5.0;1.0;4;2;1.0;20.0;1.0;8700.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;2324.586467;2296.3;2296.5;Indexes;Undefined;42.442857;100.585714;219.378571;1.012230118441106;0.008708904855206536;54.10804461160568;22.83127403161845;10.468205666268108;0.018481540169823642;0.04379957065099064;0.09552735510559547
SI_U;USD;USD;Silver September;3;0.001;0.0049999999999954525;0.005;25.0;1.0;4;2;1.0;20.0;1.0;23000.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;4161.258455;38.045;38.05;Commodities;Commodities - Precious;0.777143;1.897143;4.076429;109.362902890933;0.013140604467793568;48.96138805856837;20.05647439333777;9.334150061242326;0.02042425755584757;0.04985921156373194;0.10713348226018397
