Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1;VaR_to_Ask_Ratio
RB_U;USD;USD;RBOB Gasoline September;4;0.0001;4;0.0001;4.2;1.0;3;2;1.0;20.0;1.0;18000.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;2208.738548;2.1527;2.1531;Commodities;Undefined;0.039793;0.125436;0.226957;1025.8411351075194
RB_V;USD;USD;RBOB Gasoline October;4;0.0001;3;0.0001;4.2;1.0;4;2;1.0;20.0;1.0;17800.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;2030.556619;1.9956;1.9959;Commodities;Undefined;0.037086;0.115464;0.2097;1017.3639055062879
RTY_U;USD;USD;E-Mini Rusell 2000 Index September;1;0.1;1;0.1;5.0;1.0;4;2;1.0;20.0;1.0;8700.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;2808.097207;2343.7;2343.8;Indexes;Undefined;40.221429;101.25;219.378571;1.1980959156071336
SI_U;USD;USD;Silver September;3;0.001;5;0.005;25.0;1.0;3;2;1.0;20.0;1.0;23000.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;4400.791061;38.52;38.525;Commodities;Commodities - Precious;0.762143;1.931071;4.076429;114.23208464633355
SI_Z;USD;USD;Silver December;3;0.001;10;0.005;25.0;1.0;4;2;1.0;20.0;1.0;23500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;4452.87407;39.025;39.035;Commodities;Commodities - Precious;0.767857;1.956071;4.13;114.07388420648137
YM_U;USD;USD;E-Mini DJIA September;0;1.0;1;1.0;5.0;1.0;4;2;1.0;20.0;1.0;12060.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;2981.379518;45351.0;45352.0;Indexes;Undefined;464.428571;1215.428571;2637.214286;0.06573865580349268
ZC_U;USD;USD;Corn September;2;0.01;25;0.25;12.5;1.0;3;2;1.0;20.0;1.0;1790.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;426.398434;389.5;389.75;Commodities;Commodities - Agricultural;6.928571;18.178571;41.035714;1.0940306196279668
ZC_Z;USD;USD;Corn December;2;0.01;25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;1300.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;427.971192;412.5;412.75;Commodities;Undefined;6.875;19.089286;43.464286;1.0368775093882494
ZL_Z;USD;USD;Soybean Oil December;2;0.01;2;0.01;6.0;1.0;4;2;1.0;20.0;1.0;3200.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;1002.330368;54.84;54.86;Commodities;Undefined;1.499286;3.055714;5.637857;18.270695734597158
ZM_Z;USD;USD;Soybean Meal December;1;0.1;1;0.1;10.0;1.0;4;2;1.0;20.0;1.0;2000.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;529.816172;290.6;290.7;Commodities;Commodities - Agricultural;6.221429;9.964286;29.65;1.8225530512555903
ZN_U;USD;USD;10Y US Treasury Note September;6;1e-06;15625;0.015625;15.625;1.0;3;2;1.0;20.0;1.0;2720.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;665.103508;111.921875;111.9375;Financial;Undefined;0.428571;1.084821;2.930804;5.941739881630374
ZN_Z;USD;USD;10Y US Treasury Note December;6;1e-06;15625;0.015625;15.625;1.0;4;2;1.0;20.0;1.0;2700.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;667.045159;111.96875;111.984375;Financial;Undefined;0.430804;1.08817;2.930804;5.956591345890889
ZS_X;USD;USD;Soybeans November;2;0.01;25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;2800.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;945.715411;1047.75;1048.0;Commodities;Commodities - Agricultural;17.803571;35.821429;77.017857;0.9024002013358778
FDAX_U;EUR;EUR;DAX Index September;0;1.0;2;1.0;25.0;1.0;4;2;1.0;20.0;1.0;28400.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 ;8851.73173;24309.0;24311.0;Indexes;Undefined;235.5;775.428571;1464.357143;0.36410397474394307
FESX_U;EUR;EUR;Euro Stoxx 50 September;0;1.0;1;1.0;10.0;1.0;4;2;1.0;20.0;1.0;2700.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 ;848.422353;5443.0;5444.0;Indexes;Undefined;52.928571;162.214286;354.5;0.15584539915503307
FGBL_U;EUR;EUR;Bund September;2;0.01;1;0.01;10.0;1.0;4;2;1.0;20.0;1.0;2900.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 03:30-23:00 ;616.440527;129.2;129.21;Indexes;Undefined;0.595714;1.273571;3.493571;4.77084224905193
EURUSD;EUR;USD;Euro vs US Dollar;5;1e-05;3;1e-05;1.0;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-10.6;4.3;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;1284.438501;1.16104;1.16107;Currency;Undefined;0.007762;0.019576;0.040524;1106.2541457448733
GBPUSD;GBP;USD;Great Britan Pound vs US Dollar;5;1e-05;7;1e-05;1.0;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;GBP;1970.01.01 00:00;1970.01.01 00:00;-5.7;-1.9;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;999.946164;1.34536;1.34543;Currency;Undefined;0.007973;0.021929;0.048044;743.2167886846585
EURGBP;EUR;GBP;Euro vs Great Britain Pound ;5;1e-05;8;1e-05;1.34535;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-6.7;2.3;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;729.737763;0.86293;0.86301;Currency;Undefined;0.003596;0.008705;0.018535;845.5727778357144
