Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1;VaR_to_Ask_Ratio;RelativeSpread_%;ATR_D1/AskPrice;ATR_W1/AskPrice;ATR_MN1/AskPrice
RTY_U;USD;USD;E-Mini Rusell 2000 Index September;1;0.1;0.1999999999998181;0.1;5.0;1.0;4;2;1.0;20.0;1.0;8700.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;2880.113103;2363.3;2363.5;Indexes;Undefined;40.207143;101.25;219.378571;1.2185796924053311;0.008462026655376268;0.01701169579014174;0.04283900994288132;0.09281936577110218
SI_Z;USD;USD;Silver December;3;0.001;0.005000000000002558;0.005;25.0;1.0;4;2;1.0;20.0;1.0;23500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;4507.545847;39.135;39.14;Commodities;Commodities - Precious;0.755714;1.956071;4.13;115.16468694430252;0.01277465508431926;0.01930797138477261;0.049976264690853346;0.10551865099642309
YM_U;USD;USD;E-Mini DJIA September;0;1.0;2.0;1.0;5.0;1.0;4;2;1.0;20.0;1.0;12060.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;3060.647983;45482.0;45484.0;Indexes;Undefined;465.285714;1215.428571;2637.214286;0.0672906512839679;0.0043971506463811455;0.010229656890335063;0.026722112633013804;0.05798114251165245
ZC_U;USD;USD;Corn September;2;0.01;0.25;0.25;12.5;1.0;3;2;1.0;20.0;1.0;1790.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;410.005025;387.25;387.5;Commodities;Commodities - Agricultural;6.892857;18.178571;41.035714;1.0580774838709677;0.06451612903225806;0.01778801806451613;0.046912441290322585;0.10589861677419354
ZC_Z;USD;USD;Corn December;2;0.01;0.25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;1300.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;407.793255;409.5;409.75;Commodities;Undefined;6.75;19.089286;43.464286;0.9952245393532642;0.06101281269066504;0.01647345942647956;0.04658764124466138;0.1060751336180598
ZL_Z;USD;USD;Soybean Oil December;2;0.01;0.030000000000001137;0.01;6.0;1.0;4;2;1.0;20.0;1.0;3200.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;979.590927;53.44;53.47;Commodities;Undefined;1.477857;3.055714;5.637857;18.320383897512624;0.056106227791286954;0.02763899382831494;0.05714819524967272;0.10543962969889659
ZM_Z;USD;USD;Soybean Meal December;1;0.1;0.0999999999999659;0.1;10.0;1.0;4;2;1.0;20.0;1.0;2000.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;523.877734;293.1;293.2;Commodities;Commodities - Agricultural;6.085714;9.964286;29.65;1.7867589836289224;0.03410641200544539;0.020756186903137793;0.03398460436562074;0.10112551159618008
ZN_U;USD;USD;10Y US Treasury Note September;6;1e-06;0.015625;0.015625;15.625;1.0;3;2;1.0;20.0;1.0;2720.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;668.778963;112.171875;112.1875;Financial;Undefined;0.427455;1.084821;2.930804;5.961260951532033;0.01392757660167131;0.0038101838440111418;0.00966971364902507;0.026124158217270196
ZN_Z;USD;USD;10Y US Treasury Note December;6;1e-06;0.015625;0.015625;15.625;1.0;4;2;1.0;20.0;1.0;2700.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;670.638834;112.203125;112.21875;Financial;Undefined;0.429688;1.08817;2.930804;5.976174516290727;0.01392369813422445;0.0038290214424951266;0.009696864383180173;0.026116883319409638
ZS_X;USD;USD;Soybeans November;2;0.01;0.25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;2800.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;946.343486;1049.0;1049.25;Commodities;Commodities - Agricultural;18.017857;35.821429;77.017857;0.9019237417202765;0.02382654276864427;0.01717212961639266;0.034140032404098165;0.07340277055039314
